CustomerID,CustomerName,Age,Gender,Location,OrderID,OrderDate,Category,Sales
C00861,Rohan,41,Male,Mumbai,O10000,2023-04-14,Home,1053
C01295,Kiran,48,Female,Hyderabad,O10001,2023-12-12,Electronics,23935
C01131,Rohan,23,Female,Nashik,O10002,2023-04-07,Home,11264
C01096,Kiran,52,Female,Pune,O10003,2023-05-05,Electronics,22783
C01639,Rahul,54,Female,Kolhapur,O10004,2023-07-02,Beauty,9407
C02170,Rahul,30,Female,Delhi,O10005,2023-11-23,Fashion,21179
C00467,Vikram,42,Male,Hyderabad,O10006,2023-02-23,Beauty,21988
C01239,Priya,49,Female,Delhi,O10007,2023-10-29,Home,3889
C00331,Akash,18,Female,Delhi,O10008,2023-06-13,Home,12434
C01483,Kiran,52,Male,Chennai,O10009,2023-05-29,Fashion,29120
C02136,Sneha,36,Female,Chennai,O10010,2023-10-17,Home,5819
C02920,Akash,29,Female,Kolhapur,O10011,2023-03-28,Beauty,14104
C00131,Pooja,57,Female,Nashik,O10012,2023-06-11,Fashion,15115
C01686,Rohan,57,Female,Pune,O10013,2023-06-17,Home,28239
C00770,Rahul,37,Male,Chennai,O10014,2023-05-15,Home,4151
C02392,Sneha,50,Male,Hyderabad,O10015,2023-03-31,Home,20019
C01516,Kiran,46,Male,Chennai,O10016,2023-11-04,Home,5763
C02854,Amit,33,Male,Nashik,O10017,2023-11-01,Electronics,11525
C02434,Kiran,31,Female,Nashik,O10018,2023-03-22,Electronics,14391
C01216,Rohan,24,Female,Mumbai,O10019,2023-12-17,Electronics,7902
C00956,Kiran,23,Female,Mumbai,O10020,2023-08-19,Home,3995
C02325,Kiran,38,Female,Mumbai,O10021,2023-03-30,Electronics,18221
C01185,Neha,53,Female,Nashik,O10022,2023-10-20,Home,21972
C00460,Priya,39,Female,Delhi,O10023,2023-01-02,Beauty,16672
C00022,Akash,57,Female,Bangalore,O10024,2023-12-18,Home,6696
C02301,Amit,36,Male,Pune,O10025,2023-08-10,Fashion,11113
C00748,Rahul,42,Male,Mumbai,O10026,2023-01-17,Fashion,29207
C02905,Kiran,20,Male,Pune,O10027,2023-07-15,Fashion,3511
C00475,Amit,53,Male,Chennai,O10028,2023-04-30,Home,19543
C01083,Vikram,51,Male,Kolhapur,O10029,2023-08-30,Fashion,9856
